Species	Formula	EoF298	Unc	WB_ID	CASRN	Squib	Method
Lead chloride	Cl4Pb	-552.41		C13463304	13463-30-4	1998CHA1-1951	Review # Data last reviewed in December, 1973
Nickel tetracarbonyl	C4NiO4	-601.58		C13463393	13463-39-3	1998CHA1-1951	Review # Data last reviewed in March, 1978
Iron pentacarbonyl	C5FeO5	-727.85		C13463406	13463-40-6	1998CHA1-1951	Review # Data last reviewed in March, 1978
Titanium dioxide (anatase)	O2Ti	-305.43		C13463677	13463-67-7	1998CHA1-1951	Review # Data last reviewed in December, 1973
Trifluorosilane	HF3Si	-1200.81		C13465719	13465-71-9	1998CHA1-1951	Review # Data last reviewed in June, 1976
Triiodosilane	HI3Si	-74.48		C13465720	13465-72-0	1998CHA1-1951	Review # Data last reviewed in December, 1976
Silane, bromo-	H3BrSi	-78.24		C13465731	13465-73-1	1998CHA1-1951	Review # Data last reviewed in December, 1976
chlorosilane	H3ClSi	-141.84		C13465786	13465-78-6	1998CHA1-1951	Review # Data last reviewed in December, 1976
Diiodosilylene	I2Si	92.47		C13465833	13465-83-3	1998CHA1-1951	Review # Data last reviewed in December, 1977
silicon tetraiodide	I4Si	-110.46		C13465844	13465-84-4	1998CHA1-1951	Review # Data last reviewed in June, 1976
3-Carene	C10H16	18.828	3.7656	C13466789	13466-78-9	1975KOZ/ALE14-17	Ccb
titanium trifluoride	F3Ti	-1188.67		C13470081	13470-08-1	1998CHA1-1951	Review # Data last reviewed in June, 1968
Tungsten pentabromide	Br5W	-199.16		C13470116	13470-11-6	1998CHA1-1951	Review # Data last reviewed in June, 1967
Tungsten chloride	Cl2W	-12.55		C13470127	13470-12-7	1998CHA1-1951	Review # Data last reviewed in December, 1966
Tungsten tetrachloride	Cl4W	-335.98		C13470138	13470-13-8	1998CHA1-1951	Review # Data last reviewed in December, 1966
Tungsten pentachloride	Cl5W	-412.54		C13470149	13470-14-9	1998CHA1-1951	Review # Data last reviewed in December, 1966
Docosane, 11-butyl-	C26H54	-593.2912000000001	7.5312	C13475768	13475-76-8	1944KNO/HUF1492-1494	Ccb # Heat of vaporization estimated by 1970COX/PIL1-636B
Phosphoryl fluoride	F3OP	-1254.25		C13478201	13478-20-1	1998CHA1-1951	Review # Data last reviewed in December, 1969
Copper monofluoride	CuF	-12.55		C13478416	13478-41-6	1998CHA1-1951	Review # Data last reviewed in December, 1977
niobium pentabromide	NbBr5	-443.59		C13478450	13478-45-0	1998CHA1-1951	Review # Data last reviewed in December, 1974
2-Phenyl-3-benzoylquinoxaline-1,4-dioxide	C21H14N2O3	355.2	7.1	C13494387	13494-38-7	1997ACR/POW3722-3726	Ccb
Aluminum chloride fluoride	AlCl2F	-790.78		C13497966	13497-96-6	1998CHA1-1951	Review # Data last reviewed in June, 1976
Boron triiodide	BI3	71.13		C13517107	13517-10-7	1998CHA1-1951	Review # Data last reviewed in December, 1964
2-Naphthalenol	C10H8O	-29.9	1.7	C135193	135-19-3	1988RIB/RIB969-974	Ccb # Hs=94.2±0.5 kJ/mol;1974COL/ROU149-155
Molybdenum bromide	Br4Mo	-171.13		C13520597	13520-59-7	1998CHA1-1951	Review # Data last reviewed in September, 1978
tungsten dichloride dioxide	Cl2O2W	-671.53		C13520768	13520-76-8	1998CHA1-1951	Review # Data last reviewed in March, 1967
tungsten tetrachloride oxide	WCl4O	-573.49		C13520780	13520-78-0	1998CHA1-1951	Review # Data last reviewed in March, 1967
Tungsten tetrafluoride oxide	F4OW	-1336.62		C13520791	13520-79-1	1998CHA1-1951	Review # Data last reviewed in December, 1971
Hydrogen sulfide-d2	D2S	-23.89		C13536942	13536-94-2	1998CHA1-1951	Review # Data last reviewed in June, 1977
Titanium fluoride oxide (TiF2O)	F2OTi	-924.87		C13537161	13537-16-1	1998CHA1-1951	Review # Data last reviewed in September, 1963
fluorosilane	H3FSi	-376.56		C13537332	13537-33-2	1998CHA1-1951	Review # Data last reviewed in June, 1976
Phenoxazine	C12H9NO	94.0	2.8	C135671	135-67-1	1992SAB/ELW381-390	Ccr # %hf calculated possible error by author
Aluminum difluoride	AlF2	-694.54		C13569238	13569-23-8	1998CHA1-1951	Review # Data last reviewed in June, 1976
Strontium monofluoride	FSr	-294.55		C13569272	13569-27-2	1998CHA1-1951	Review # Data last reviewed in December, 1972
Zirconium fluoride	FZr	82.84		C13569283	13569-28-3	1998CHA1-1951	Review # Data last reviewed in June, 1969
Dichlorosilylene	Cl2Si	-168.62		C13569329	13569-32-9	1998CHA1-1951	Review # Data last reviewed in December, 1977
1,1':4',1'':4'',1'''-Quaterphenyl	C24H18	400.0	11.0	C135706	135-70-6	2008ROU/TEM1855-1996	Review # There are insufficient literature values to properly evaluate the data and insufficient information to construct thermochemical cycles or estimate values for comparison, and one must rely solely upon reported uncertainities and the quality of the measurements. In general, the evaluated uncertainty limits are on the order of (3 to 9) kJ/mol.
Hydroxyl-d	DO	36.6		C13587547	13587-54-7	1998CHA1-1951	Review # Data last reviewed in June, 1977
Aluminum monochloride	AlCl	-51.46		C13595818	13595-81-8	1998CHA1-1951	Review # Data last reviewed in September, 1979
Aluminum monofluoride	AlF	-265.68		C13595829	13595-82-9	1998CHA1-1951	Review # Data last reviewed in September, 1979
aluminium chloride oxide	AlClO	-348.11		C13596117	13596-11-7	1998CHA1-1951	Review # Data last reviewed in September, 1964
aluminium fluoride oxide	AlFO	-581.58		C13596128	13596-12-8	1998CHA1-1951	Review # Data last reviewed in December, 1975
Beryllium monofluoride	BeF	-169.87		C13597961	13597-96-1	1998CHA1-1951	Review # Data last reviewed in December, 1971
Beryllium monohydride	HBe	321.2		C13597972	13597-97-2	1998CHA1-1951	Review # Data last reviewed in March, 1963
Beryllium iodide	BeI	170.02		C13597983	13597-98-3	1998CHA1-1951	Review # Data last reviewed in December, 1975
Beryllium chloride fluoride	BeClF	-573.21		C13598124	13598-12-4	1998CHA1-1951	Review # Data last reviewed in June, 1965
beryllium sulphide	BeS	263.59		C13598226	13598-22-6	1998CHA1-1951	Review # Data last reviewed in September, 1977
Iodosilane	H3ISi	-2.09		C13598420	13598-42-0	1998CHA1-1951	Review # Data last reviewed in December, 1976
Benzene, (1-methylpropyl)-	C10H14	-17.44728	1.3807200000000002	C135988	135-98-8	1946PRO/JOH455-461	Ccb
Manganese, pentacarbonyl(trifluoromethyl)-	C6F3MnO5	-1384.0	22.0	C13601144	13601-14-4	1997MAR0B	Review
Manganese, pentacarbonylmethyl-	C6H3MnO5	-756.0	6.0	C13601246	13601-24-6	1997MAR0B	Review
chlorine pentafluoride	ClF5	-238.49		C13637633	13637-63-3	1998CHA1-1951	Review # Data last reviewed in June, 1966
Molybdenum dichloride dioxide	Cl2MoO2	-633.04		C13637688	13637-68-8	1998CHA1-1951	Review # Data last reviewed in June, 1970
Sulfuryl chloride fluoride	ClFO2S	-556.47		C13637848	13637-84-8	1998CHA1-1951	Review # Data last reviewed in June, 1971
Tricyclo[4.3.1.0(1,6)]deca-2-ene	C10H14	96.6504		C136630109	136630-10-9	1992ROT/KLA217-224	Chyd
Dihydroxyborane	H4B2O4	-1284.49		C13675188	13675-18-8	1998CHA1-1951	Review # Data last reviewed in March, 1966
Cobalt, nonacarbonyl[μ<sup>3</sup>-(chloromethylidyne)]tri-, triangulo	C10ClCo3O9	-1058.4	7.5	C13682025	13682-02-5	1997MAR0B	Review # The enthalpy of formation relies on -18.6±0.4 kJ/mol for the enthalpy of formation of Cl2 in a carbon tetrachloride solution 1975GAR/CAR0
3,4-Dimethylenebicyclo[4.2.0]octa-1,5-diene	C10H10	358.98720000000003		C136846725	136846-72-5	1991ROT/LAN2751-2760	Eqk # At 812 °C
Diboron tetrachloride	B2Cl4	-489.11		C13701672	13701-67-2	1998CHA1-1951	Review # Data last reviewed in December, 1964
Tungsten bromide	Br6W	-243.09		C13701865	13701-86-5	1998CHA1-1951	Review # Data last reviewed in June, 1967
Lead bromide	Br4Pb	-456.36		C13701912	13701-91-2	1998CHA1-1951	Review # Data last reviewed in December, 1973
Trichloroboroxin	B3Cl3O3	-1631.76		C13703918	13703-91-8	1998CHA1-1951	Review # Data last reviewed in March, 1965
Trifluoroboroxine	B3F3O3	-2365.22		C13703952	13703-95-2	1998CHA1-1951	Review # Data last reviewed in March, 1965
Molybdenum chloride	Cl6Mo	-439.32		C13706199	13706-19-9	1998CHA1-1951	Review # Data last reviewed in December, 1968
Difluorodisulfane	F2S2	-336.44		C13709358	13709-35-8	1998CHA1-1951	Review # Data last reviewed in June, 1976
Dibromoborane	HBBr2	-104.6		C13709654	13709-65-4	1998CHA1-1951	Review # Data last reviewed in March, 1966
Bromodichloroborane(3)	BBrCl2	-336.81		C13709701	13709-70-1	1998CHA1-1951	Review # Data last reviewed in December, 1964
Dibromochloroborane(3)	BBr2Cl	-271.96		C13709712	13709-71-2	1998CHA1-1951	Review # Data last reviewed in December, 1964
Difluoroborane	HBF2	-733.87		C13709836	13709-83-6	1998CHA1-1951	Review # Data last reviewed in December, 1965
potassium metaborate	BKO2	-674.04		C13709949	13709-94-9	1998CHA1-1951	Review # Data last reviewed in June, 1971
barium iodide	BaI2	-302.92		C13718508	13718-50-8	1998CHA1-1951	Review # Data last reviewed in June, 1974
1-Butanol, 2-methyl-	C5H12O	-302.04296	1.4644	C137326	137-32-6	1965CHA/ROS374-379	Ccb # Heat of formation derived by 1970COX/PIL1-636B
Cyclopentane, bromo-	C5H9Br	9.832400000000002		C137439	137-43-9	1988RED/RAO84-87	Kin
cis-Bicyclo[6.1.0]nonane	C9H16	-20.75264	1.12968	C13757432	13757-43-2	1984WIB/LUP1740-1744	Ccb # see 1970LUP1174-1175
Diiodosilane	H2I2Si	-38.07		C13760026	13760-02-6	1998CHA1-1951	Review # Data last reviewed in December, 1976
Zirconium chloride	Cl2Zr	-186.19		C13762260	13762-26-0	1998CHA1-1951	Review # Data last reviewed in December, 1969
Phosphino radical	H2P	125.94		C13765430	13765-43-0	1998CHA1-1951	Review # Data last reviewed in March, 1963
Borane(1)	HB	442.67		C13766262	13766-26-2	1998CHA1-1951	Review # Data last reviewed in December, 1964
Diboron dioxide	B2O2	-456.06		C13766284	13766-28-4	1998CHA1-1951	Review # Data last reviewed in December, 1964
boron fluoride	BF	-115.9		C13768600	13768-60-0	1998CHA1-1951	Review # Data last reviewed in December, 1964
Dibromosilane	H2Br2Si	-190.37		C13768940	13768-94-0	1998CHA1-1951	Review # Data last reviewed in December, 1976
Phosphoryl chloride difluoride	ClF2OP	-970.69		C13769750	13769-75-0	1998CHA1-1951	Review # Data last reviewed in March, 1963
Phosphoryl chloride fluoride	Cl2FOP	-765.67		C13769761	13769-76-1	1998CHA1-1951	Review # Data last reviewed in March, 1963
Hypochlorous acid-d	DClO	-78.24		C13770224	13770-22-4	1998CHA1-1951	Review # Data last reviewed in March, 1979
Amino radical	H2N	190.37		C13770406	13770-40-6	1998CHA1-1951	Review # Data last reviewed in June, 1977
Imidogen	HN	376.56		C13774920	13774-92-0	1998CHA1-1951	Review # Data last reviewed in June, 1977
Silylidyne	HSi	376.66		C13774942	13774-94-2	1998CHA1-1951	Review # Data last reviewed in December, 1976
Nitrogen fluoride, (E)-	F2N2	81.17		C13776620	13776-62-0	1998CHA1-1951	Review # Data last reviewed in December, 1965
zirconium tetrabromide	Br4Zr	-644.75		C13777258	13777-25-8	1998CHA1-1951	Review # Data last reviewed in June, 1975
Zirconium iodide	I3Zr	-221.75		C13779878	13779-87-8	1998CHA1-1951	Review # Data last reviewed in June, 1964
Lead iodide	IPb	107.74		C13779936	13779-93-6	1998CHA1-1951	Review # Data last reviewed in December, 1973
Lead iodide	I4Pb	-224.47		C13779981	13779-98-1	1998CHA1-1951	Review # Data last reviewed in December, 1973
Mercapto-d	DS	138.49		C13780239	13780-23-9	1998CHA1-1951	Review # Data last reviewed in June, 1977
dichloride titanium oxide	Cl2OTi	-545.55		C13780397	13780-39-7	1998CHA1-1951	Review # Data last reviewed in September, 1963
sulphur chloride pentafluoride	ClF5S	-1038.89		C13780579	13780-57-9	1998CHA1-1951	Review # Data last reviewed in December, 1977
Titanium bromide	Br2Ti	-179.08		C13783045	13783-04-5	1998CHA1-1951	Review # Data last reviewed in June, 1968
Titanium iodide	I2Ti	-19.67		C13783078	13783-07-8	1998CHA1-1951	Review # Data last reviewed in December, 1968
Titanium iodide	I3Ti	-150.21		C13783089	13783-08-9	1998CHA1-1951	Review # Data last reviewed in December, 1968
Tetrakis(diethylamino)zirconium	C16H40N4Zr	-479.0	18.0	C13801495	13801-49-5	1997MAR0B	Review # The enthalpy of formation relies on -1796.3±15.4 kJ/mol for the enthalpy of formation of Zr(O-i-Pr)4(cr)
(Z)-Difluorodiazene	F2N2	68.62		C13812436	13812-43-6	1998CHA1-1951	Review # Data last reviewed in December, 1965
Titanium difluoride	F2Ti	-688.27		C13814205	13814-20-5	1998CHA1-1951	Review # Data last reviewed in December, 1968
Zirconium trifluoride	F3Zr	-1105.41		C13814227	13814-22-7	1998CHA1-1951	Review # Data last reviewed in June, 1968
Sulfur difluoride	F2S	-296.65		C13814250	13814-25-0	1998CHA1-1951	Review # Data last reviewed in June, 1976
Beryllium bromide	BeBr	120.11		C13814498	13814-49-8	1998CHA1-1951	Review # Data last reviewed in June, 1975
Beryllium chloride	BeCl	60.67		C13814501	13814-50-1	1998CHA1-1951	Review # Data last reviewed in September, 1966
Aluminum chloride fluoride	AlClF2	-999.14		C13814658	13814-65-8	1998CHA1-1951	Review # Data last reviewed in June, 1976
Molybdenum pentafluoride	F5Mo	-1241.39		C13819846	13819-84-6	1998CHA1-1951	Review # Data last reviewed in December, 1978
Aluminate(1-), tetrafluoro-, sodium (1:1), (T-4)-	AlF4Na	-1840.96		C13821153	13821-15-3	1998CHA1-1951	Review # Data last reviewed in December, 1979
Difluorosilane	H2F2Si	-790.78		C13824367	13824-36-7	1998CHA1-1951	Review # Data last reviewed in June, 1976
Calcium monofluoride	CaF	-271.96		C13827264	13827-26-4	1998CHA1-1951	Review # Data last reviewed in December, 1968
Sulfur monoxide	OS	5.01		C13827322	13827-32-2	1998CHA1-1951	Review # Data last reviewed in June, 1977
lithium hypochlorite	ClLiO	-14.23		C13840330	13840-33-0	1998CHA1-1951	Review # Data last reviewed in December, 1960
Titanium iodide	ITi	274.05		C13840454	13840-45-4	1998CHA1-1951	Review # Data last reviewed in December, 1968
Boron dioxide	BO2	-284.51		C13840885	13840-88-5	1998CHA1-1951	Review # Data last reviewed in June, 1968
Iodosilylidyne	ISi	313.63		C13841195	13841-19-5	1998CHA1-1951	Review # Data last reviewed in December, 1976
Tribromosilyl radical	Br3Si	-201.69		C13842483	13842-48-3	1998CHA1-1951	Review # Data last reviewed in December, 1977
Dichloroboron	BCl2	-79.5		C13842529	13842-52-9	1998CHA1-1951	Review # Data last reviewed in June, 1972
Difluoroboryl radical	BF2	-589.94		C13842552	13842-55-2	1998CHA1-1951	Review # Data last reviewed in June, 1972
Iodoborane	BI	305.43		C13842563	13842-56-3	1998CHA1-1951	Review # Data last reviewed in December, 1964
Zirconium fluoride	F2Zr	-558.15		C13842949	13842-94-9	1998CHA1-1951	Review # Data last reviewed in June, 1969
Aluminum, di-μ-chlorotetrachlorodi-	Al2Cl6	-1295.74		C13845120	13845-12-0	1998CHA1-1951	Review # Data last reviewed in September, 1979
Trifluoroamine oxide	F3NO	-163.18		C13847659	13847-65-9	1998CHA1-1951	Review # Data last reviewed in June, 1970
tetrakis(trifluorophosphine)nickel	F12NiP4	-3989.2	9.9	C13859659	13859-65-9	1997MAR0B	Review
bromine chloride	BrCl	14.64		C13863417	13863-41-7	1998CHA1-1951	Review # Data last reviewed in September, 1965
Bromine monofluoride	BrF	-58.46		C13863597	13863-59-7	1998CHA1-1951	Review # Data last reviewed in September, 1965
Difluorohydroxyborane	HBF2O	-1083.66		C13867668	13867-66-8	1998CHA1-1951	Review # Data last reviewed in March, 1965
Phosphorus difluoride	F2P	-488.26		C13873524	13873-52-4	1998CHA1-1951	Review # Data last reviewed in June, 1977
Iodine monofluoride	FI	-94.76		C13873842	13873-84-2	1998CHA1-1951	Review # Data last reviewed in December, 1965
Benzenamine, N,N-dimethyl-4-nitroso-	C8H10N2O	185.0	2.3	C138896	138-89-6	1994ACR/TUC85-90	Ccb
Nickel monochloride	ClNi	182.0		C13931834	13931-83-4	1998CHA1-1951	Review # Data last reviewed in September, 1977
Lead chloride	ClPb	15.06		C13931845	13931-84-5	1998CHA1-1951	Review # Data last reviewed in June, 1973
Molybdenum hexacarbonyl	C6MoO6	-908.5	2.9	C13939065	13939-06-5	1997MAR0B	Review
Mercapto radical	HS	139.33		C13940211	13940-21-1	1998CHA1-1951	Review # Data last reviewed in June, 1977
Zirconium hydride	HZr	516.31		C13940379	13940-37-9	1998CHA1-1951	Review # Data last reviewed in June, 1963
sec-Butylamine	C4H11N	-106.2736	1.6736000000000002	C13952846	13952-84-6	1959EVA/FAI399-403	Ccb # Heat of formation derived by 1970COX/PIL1-636B
Aluminum tris(acetylacetonate)	C15H21AlO6	-1671.2	4.6	C13963570	13963-57-0	1997MAR0B	Review # Selected data. The enthalpy of formation is the average of the results obtained by CC-SB 1977CAV/PIL1590 and RSC 1966HIL/IRV0.
Manganese, acetylpentacarbonyl-, (OC-6-21)-	C7H3MnO6	-900.7	8.2	C13963912	13963-91-2	1997MAR0B	Review # The enthalpy formation relies on -750.9±4.1 kJ/mol for the enthalpy of formation of Mn(CO)5(Me)(g)
Diboron tetrafluoride	B2F4	-1431.77		C13965736	13965-73-6	1998CHA1-1951	Review # Data last reviewed in December, 1964
Diphenyl sulfide	C12H10S	231.3752	2.9288	C139662	139-66-2	1962MAC/MAY238-243	Ccb
Clorosilylidyne	ClSi	198.32		C13966579	13966-57-9	1998CHA1-1951	Review # Data last reviewed in December, 1976
Mercury hydride	HHg	238.49		C13966626	13966-62-6	1998CHA1-1951	Review # Data last reviewed in June, 1963
Difluorosilylene	F2Si	-587.85		C13966660	13966-66-0	1998CHA1-1951	Review # Data last reviewed in December, 1977
Barium monofluoride	BaF	-322.17		C13966706	13966-70-6	1998CHA1-1951	Review # Data last reviewed in December, 1972
Fluoroimidogen	FN	248.95		C13967061	13967-06-1	1998CHA1-1951	Review # Data last reviewed in June, 1965
Phosphinidene	HP	253.55		C13967141	13967-14-1	1998CHA1-1951	Review # Data last reviewed in June, 1967
Aluminum hydride	HAl	259.41		C13967221	13967-22-1	1998CHA1-1951	Review # Data last reviewed in June, 1963
Bromoimidogen	BrN	300.76		C13967298	13967-29-8	1998CHA1-1951	Review # Data last reviewed in December, 1962
Hexahydro-1,3,5-trinitroso-1,3,5-triazine	C3H6N6O3	394.5512		C13980046	13980-04-6	1974PEP/MAT1707-1710	Ccb
deuterium hydride	HD	0.32		C13983205	13983-20-5	1998CHA1-1951	Review # Data last reviewed in June, 1977
Manganese, phenyl pentacarbonyl	C11H5MnO5	-587.0	18.0	C13985778	13985-77-8	1997MAR0B	Review # The enthalpy of formation is the average of the results for five iodination reaction enthalpies
zirconium tetraiodide	I4Zr	-362.33		C13986260	13986-26-0	1998CHA1-1951	Review # Data last reviewed in June, 1975
(dimethylamino)methanol	C3H9NO	-203.34240000000003	4.184	C14002212	14002-21-2	1974ROG/RAP599-603	Cm # Heat of formation derived by 77PED/RYL
1-Methyl-4-(1-propynyl-sulphonyl)benzene	C10H10O2S	10.46	4.184	C14027533	14027-53-3	1969MAC/STE2073-2077	Ccb # Heat of combustion corrected for pressure
HypoFluorous acid	HFO	-98.32		C14034798	14034-79-8	1998CHA1-1951	Review # Data last reviewed in December, 1972
Tungsten hexacarbonyl	C6O6W	-877.4	3.0	C14040110	14040-11-0	1997MAR0B	Review
Difluorooxosilane	F2OSi	-966.5		C14041226	14041-22-6	1998CHA1-1951	Review # Data last reviewed in September, 1963
Chlorotrifluorosilane	ClF3Si	-1317.96		C14049366	14049-36-6	1998CHA1-1951	Review # Data last reviewed in December, 1960
Manganese, benzylpentacarbonyl-	C12H7MnO5	-635.7		C14049866	14049-86-6	1997MAR0B	Review # The enthalpy of formation is the average of the results for two iodination reaction enthalpies
Molybdenum iodide	I2Mo	257.73		C14055744	14055-74-4	1998CHA1-1951	Review # Data last reviewed in September, 1978
Molybdenum iodide	I3Mo	182.84		C14055755	14055-75-5	1998CHA1-1951	Review # Data last reviewed in September, 1978
Molybdenum iodide	I4Mo	124.68		C14055766	14055-76-6	1998CHA1-1951	Review # Data last reviewed in September, 1978
N,N,4-Trimethyl benzamide	C10H13NO	-112.5496	10.46	C14062783	14062-78-3	1992GUT/PIK1671-1683	Cm # Hydrolysis
4-chloro-N,N-dimethylbenzamide	C9H10ClNO	-110.876	11.296800000000001	C14062807	14062-80-7	1992GUT/PIK1671-1683	Cm # Hydrolysis
Methyl N,N-,α,α-tetramethylglycinate	C7H15NO2	-452.41591999999997	1.29704	C140653594	140653-59-4	1992VER/BEC27-39	Ccb
potassium tetrafluoroborate	BF4K	-1552.26		C14075537	14075-53-7	1998CHA1-1951	Review # Data last reviewed in December, 1969
Piperazine, 1,4-dinitroso-	C4H8N4O2	194.1376	2.9288	C140794	140-79-4	1974PEP/MAT1707-1710	Ccb
4,5-Tetramethylene-1,2-dithiol-3-thione	C7H8S3	155.64480000000003		C14085348	14085-34-8	1972GEI/RAU376-382	Ccb # Hf\_H2SO4.115H2O=-143.885 Kcal/mol
2-Propenoic acid, ethyl ester	C5H8O2	-331.4		C140885	140-88-5	1980VIL/PER619-624	
2,4-Octanedione	C8H14O2	-456.8928		C14090870	14090-87-0	1974CON/VAN585-593	Ion # Mass spectrometery (enol)
2-Buten-1-one, 3-(methylamino)-1-phenyl-	C11H13NO	-53.7	4.7	C14091931	14091-93-1	1993RIB/RIB1765-1769	Ccb
2-(Methylsulphonyl)-2-methylpropane	C5H12O2S	-473.2104	3.7656	C14094123	14094-12-3	1961BUS/MAC1054-1057	Ccr # Heat of combustion corrected for constant pressure
Rhenium, pentacarbonylchloro-	C5ClO5Re	-875.0	18.0	C14099015	14099-01-5	1997MAR0B	Review
Manganese, pentacarbonyl(trifluoroacetyl)-	C7F3MnO6	-1505.0	7.0	C14099628	14099-62-8	1997MAR0B	Review # The enthalpy formation relies on -1382.7±4.8 kJ/mol for the enthalpy of formation of Mn(CO)5(CF3)(g)
pentacarbonylchloromanganese	C5ClMnO5	-919.0	13.0	C14100302	14100-30-2	1997MAR0B	Review
2-Propenoic acid, butyl ester	C7H12O2	-375.3	0.8	C141322	141-32-2	1996STE/CHI1285-1302	Ccr
germanium(4+) ethanolate	C8H20GeO4	-965.6	3.1	C14165550	14165-55-0	1997MAR0B	Review # The enthalpy of formation has been derived on the basis of GeO2(am).
Ethyl Acetate	C4H8O2	-445.42864	0.8368000000000001	C141786	141-78-6	1991WIB/CRO3447-3450	Cm
3-Penten-2-one, 4-methyl-	C6H10O	-178.28	0.64	C141797	141-79-7	1997STE/CHI1052-1066	Ccb
Ethyl acetoacetate	C6H10O3	-586.2	1.5	C141979	141-97-9	1995RIB/FER426-428	Ccb
bromopentacarbonylrhenium	C5BrO5Re	-857.4	7.4	C14220214	14220-21-4	1997MAR0B	Review
Cyclopentene	C5H8	35.564		C142290	142-29-0	1982ALL/DOD1593-1597	Chyd
pentafluoronitrosobenzene	C6F5NO	-669.44	8.368	C1423138	1423-13-8	1975CHO/GOL713-724	Kin
N-Fluoro-n-butylnitramine	C4H9FN2O2	-112.1312	2.9288	C14233864	14233-86-4	1966ZIM/BAR579-581	Ccb
Bicyclo[3.2.1]octan-3-one	C8H12O	-221.3336	8.368	C14252052	14252-05-2	1979STE0	Ccb
2,2-Bis(phenylthio)propane	C15H16S2	262.0	10.0	C14252461	14252-46-1	1997STE/CHI1052-1066	Ccb # H2SO4 (1:115)
Hexanoic acid	C6H12O2	-511.2	1.5	C142621	142-62-1	1978FEN/HAR687-690	
Tetrahydropyran	C5H10O	-223.84400000000002	1.00416	C142687	142-68-7	1965PEL/PIL71-77	Cm
Heptane	C7H16	-187.81976	0.79496	C142825	142-82-5	1945PRO/ROS263-267	Ccb
1-Propanamine, N-propyl-	C6H15N	-116.5	1.6	C142847	142-84-7	1997RIB/RIB1025-1030	Ccb
tris(pentane-2,4-dionato-O,O')molybdenum	C15H21MoO6	-1195.0	11.0	C14284903	14284-90-3	1997MAR0B	Review
Dirhenium decacarbonyl	C10O10Re2	-1557.1	9.1	C14285688	14285-68-8	1997MAR0B	Review
Propane, 2-(ethylthio)-2-methyl-	C6H14S	-147.6952	2.5104	C14290927	14290-92-7	1962MAC/MAY230-237	Ccb
n-Butyl ether	C8H18O	-333.8832	2.092	C142961	142-96-1	1965COL/PEL2641	Ccb
Cyclobutane, 1,2-bis(methylene)-	C6H8	204.1792		C14296801	14296-80-1	1986ROT/LEN837-843	Chyd # Mixture cis and trans
1-Nonanol	C9H20O	-368.7		C143088	143-08-8	1975MOS/DEK417-424	
1-Decanethiol	C10H22S	-211.9196	1.4644	C143102	143-10-2	1966GOO/DEP3606-3609	Ccr
Dodecane, 1-bromo-	C12H25Br	-269.9	2.6	C143157	143-15-7	1976STR901-906	Ccr
(e,s)-Rs-2,2'-bis(neopentylidene)bicyclohexyl	C22H38	-269.0312	13.388800000000002	C143238022	143238-02-2	1993HER/BEC117-127	Cm # homolysis
(Z,Z)-Rr-2,2'-bis(neopentylidene)bicyclohexyl	C22H38	-268.1944	15.0624	C143238033	143238-03-3	1993HER/BEC117-127	Cm # homolysis
(E,E)-Rr-2,2'-bis(neopentylidene)bicyclohexyl	C22H38	-291.62480000000005	14.2256	C143238044	143238-04-4	1993HER/BEC117-127	Cm # homolysis
Nitrosyl hydride	HNO	99.58		C14332286	14332-28-6	1998CHA1-1951	Review # Data last reviewed in March, 1993
Magnesium monohydride	HMg	169.03		C14332537	14332-53-7	1998CHA1-1951	Review # Data last reviewed in December, 1966
Magnesium iodide	IMg	24.61		C14332628	14332-62-8	1998CHA1-1951	Review # Data last reviewed in December, 1974
[2H]hydrogen fluoride	DF	-275.52		C14333267	14333-26-7	1998CHA1-1951	Review # Data last reviewed in June, 1977
sodium cyanide	CNNa	94.27		C143339	143-33-9	1998CHA1-1951	Review # Data last reviewed in March, 1966
Methylmercuric iodide	CH3HgI	21.6	2.5	C143362	143-36-2	1997MAR0B	Review # The enthalpy of formation relies on 57.8±3.0 kJ/mol for the enthalpy of formation of Hg(Me)2(l).
Iodine, atomic	I	106.76	0.04	C14362448	14362-44-8	1984COX/WAG1B	Review # CODATA Review value
Heptafluoromethanetriamine	CF7N3	-200.12072	2.8451200000000005	C14362686	14362-68-6	1967SIN/THO1852-1854	Cm # Reanalyzed by 1970COX/PIL1-636B, Original value = -47.7 kcal/mol; Energy of explosion
tris(pentane-2,4-dionato-O,O')gallium	C15H21GaO6	-1356.0	11.0	C14405437	14405-43-7	1997MAR0B	Review # Selected data. The enthalpy of formation is the average of the results obtained by CC-SB 1977CAV/PIL1590 and RSC 1969IRV/WAL0.
Lithium dimer	Li2	215.9		C14452596	14452-59-6	1998CHA1-1951	Review # Data last reviewed in December, 1983
Beryllium	Be2	637.16		C14452609	14452-60-9	1998CHA1-1951	Review # Data last reviewed in September, 1983
Boron	B2	829.69		C14452610	14452-61-0	1998CHA1-1951	Review # Data last reviewed in March, 1979
Boron dihydride	H2B	200.83		C14452643	14452-64-3	1998CHA1-1951	Review # Data last reviewed in December, 1964
Phosphorus monoxide	OP	-23.55		C14452665	14452-66-5	1998CHA1-1951	Review # Data last reviewed in June, 1971
Lead hydride	HPb	236.19		C14452814	14452-81-4	1998CHA1-1951	Review # Data last reviewed in June, 1962
Ethane, 1,1,1-trimethoxy-	C5H12O3	-570.86	0.87	C1445450	1445-45-0	1979WIB/SQU773-786	Cm # Hydrolysis
