Species	Formula	EoF298	Unc	WB_ID	Squib	Method
Tungsten pentachloride	Cl5W	-412.54		C13470149	1998CHA1-1951	Review # Data last reviewed in December, 1966
Docosane, 11-butyl-	C26H54	-593.2912000000001	7.5312	C13475768	1944KNO/HUF1492-1494	Ccb # Heat of vaporization estimated by 1970COX/PIL1-636B
Phosphoryl fluoride	F3OP	-1254.25		C13478201	1998CHA1-1951	Review # Data last reviewed in December, 1969
Copper monofluoride	CuF	-12.55		C13478416	1998CHA1-1951	Review # Data last reviewed in December, 1977
niobium pentabromide	NbBr5	-443.59		C13478450	1998CHA1-1951	Review # Data last reviewed in December, 1974
2-Phenyl-3-benzoylquinoxaline-1,4-dioxide	C21H14N2O3	355.2	7.1	C13494387	1997ACR/POW3722-3726	Ccb
Aluminum chloride fluoride	AlCl2F	-790.78		C13497966	1998CHA1-1951	Review # Data last reviewed in June, 1976
Boron triiodide	BI3	71.13		C13517107	1998CHA1-1951	Review # Data last reviewed in December, 1964
2-Naphthalenol	C10H8O	-29.9	1.7	C135193	1988RIB/RIB969-974	Ccb # Hs=94.2±0.5 kJ/mol;1974COL/ROU149-155
Molybdenum bromide	Br4Mo	-171.13		C13520597	1998CHA1-1951	Review # Data last reviewed in September, 1978
tungsten dichloride dioxide	Cl2O2W	-671.53		C13520768	1998CHA1-1951	Review # Data last reviewed in March, 1967
tungsten tetrachloride oxide	WCl4O	-573.49		C13520780	1998CHA1-1951	Review # Data last reviewed in March, 1967
Tungsten tetrafluoride oxide	F4OW	-1336.62		C13520791	1998CHA1-1951	Review # Data last reviewed in December, 1971
Hydrogen sulfide-d2	D2S	-23.89		C13536942	1998CHA1-1951	Review # Data last reviewed in June, 1977
Titanium fluoride oxide (TiF2O)	F2OTi	-924.87		C13537161	1998CHA1-1951	Review # Data last reviewed in September, 1963
fluorosilane	H3FSi	-376.56		C13537332	1998CHA1-1951	Review # Data last reviewed in June, 1976
Phenoxazine	C12H9NO	94.0	2.8	C135671	1992SAB/ELW381-390	Ccr # %hf calculated possible error by author
Aluminum difluoride	AlF2	-694.54		C13569238	1998CHA1-1951	Review # Data last reviewed in June, 1976
Strontium monofluoride	FSr	-294.55		C13569272	1998CHA1-1951	Review # Data last reviewed in December, 1972
Zirconium fluoride	FZr	82.84		C13569283	1998CHA1-1951	Review # Data last reviewed in June, 1969
Dichlorosilylene	Cl2Si	-168.62		C13569329	1998CHA1-1951	Review # Data last reviewed in December, 1977
1,1':4',1'':4'',1'''-Quaterphenyl	C24H18	400.0	11.0	C135706	2008ROU/TEM1855-1996	Review # There are insufficient literature values to properly evaluate the data and insufficient information to construct thermochemical cycles or estimate values for comparison, and one must rely solely upon reported uncertainities and the quality of the measurements. In general, the evaluated uncertainty limits are on the order of (3 to 9) kJ/mol.
Hydroxyl-d	DO	36.6		C13587547	1998CHA1-1951	Review # Data last reviewed in June, 1977
Aluminum monochloride	AlCl	-51.46		C13595818	1998CHA1-1951	Review # Data last reviewed in September, 1979
Aluminum monofluoride	AlF	-265.68		C13595829	1998CHA1-1951	Review # Data last reviewed in September, 1979
aluminium chloride oxide	AlClO	-348.11		C13596117	1998CHA1-1951	Review # Data last reviewed in September, 1964
aluminium fluoride oxide	AlFO	-581.58		C13596128	1998CHA1-1951	Review # Data last reviewed in December, 1975
Beryllium monofluoride	BeF	-169.87		C13597961	1998CHA1-1951	Review # Data last reviewed in December, 1971
Beryllium monohydride	HBe	321.2		C13597972	1998CHA1-1951	Review # Data last reviewed in March, 1963
Beryllium iodide	BeI	170.02		C13597983	1998CHA1-1951	Review # Data last reviewed in December, 1975
Beryllium chloride fluoride	BeClF	-573.21		C13598124	1998CHA1-1951	Review # Data last reviewed in June, 1965
beryllium sulphide	BeS	263.59		C13598226	1998CHA1-1951	Review # Data last reviewed in September, 1977
Iodosilane	H3ISi	-2.09		C13598420	1998CHA1-1951	Review # Data last reviewed in December, 1976
Benzene, (1-methylpropyl)-	C10H14	-17.44728	1.3807200000000002	C135988	1946PRO/JOH455-461	Ccb
Manganese, pentacarbonyl(trifluoromethyl)-	C6F3MnO5	-1384.0	22.0	C13601144	1997MAR0B	Review
Manganese, pentacarbonylmethyl-	C6H3MnO5	-756.0	6.0	C13601246	1997MAR0B	Review
chlorine pentafluoride	ClF5	-238.49		C13637633	1998CHA1-1951	Review # Data last reviewed in June, 1966
Molybdenum dichloride dioxide	Cl2MoO2	-633.04		C13637688	1998CHA1-1951	Review # Data last reviewed in June, 1970
Sulfuryl chloride fluoride	ClFO2S	-556.47		C13637848	1998CHA1-1951	Review # Data last reviewed in June, 1971
Tricyclo[4.3.1.0(1,6)]deca-2-ene	C10H14	96.6504		C136630109	1992ROT/KLA217-224	Chyd
Dihydroxyborane	H4B2O4	-1284.49		C13675188	1998CHA1-1951	Review # Data last reviewed in March, 1966
Cobalt, nonacarbonyl[μ<sup>3</sup>-(chloromethylidyne)]tri-, triangulo	C10ClCo3O9	-1058.4	7.5	C13682025	1997MAR0B	Review # The enthalpy of formation relies on -18.6±0.4 kJ/mol for the enthalpy of formation of Cl2 in a carbon tetrachloride solution 1975GAR/CAR0
3,4-Dimethylenebicyclo[4.2.0]octa-1,5-diene	C10H10	358.98720000000003		C136846725	1991ROT/LAN2751-2760	Eqk # At 812 °C
Diboron tetrachloride	B2Cl4	-489.11		C13701672	1998CHA1-1951	Review # Data last reviewed in December, 1964
Tungsten bromide	Br6W	-243.09		C13701865	1998CHA1-1951	Review # Data last reviewed in June, 1967
Lead bromide	Br4Pb	-456.36		C13701912	1998CHA1-1951	Review # Data last reviewed in December, 1973
Trichloroboroxin	B3Cl3O3	-1631.76		C13703918	1998CHA1-1951	Review # Data last reviewed in March, 1965
Trifluoroboroxine	B3F3O3	-2365.22		C13703952	1998CHA1-1951	Review # Data last reviewed in March, 1965
Molybdenum chloride	Cl6Mo	-439.32		C13706199	1998CHA1-1951	Review # Data last reviewed in December, 1968
Difluorodisulfane	F2S2	-336.44		C13709358	1998CHA1-1951	Review # Data last reviewed in June, 1976
Dibromoborane	HBBr2	-104.6		C13709654	1998CHA1-1951	Review # Data last reviewed in March, 1966
Bromodichloroborane(3)	BBrCl2	-336.81		C13709701	1998CHA1-1951	Review # Data last reviewed in December, 1964
Dibromochloroborane(3)	BBr2Cl	-271.96		C13709712	1998CHA1-1951	Review # Data last reviewed in December, 1964
Difluoroborane	HBF2	-733.87		C13709836	1998CHA1-1951	Review # Data last reviewed in December, 1965
potassium metaborate	BKO2	-674.04		C13709949	1998CHA1-1951	Review # Data last reviewed in June, 1971
barium iodide	BaI2	-302.92		C13718508	1998CHA1-1951	Review # Data last reviewed in June, 1974
1-Butanol, 2-methyl-	C5H12O	-302.04296	1.4644	C137326	1965CHA/ROS374-379	Ccb # Heat of formation derived by 1970COX/PIL1-636B
Cyclopentane, bromo-	C5H9Br	9.832400000000002		C137439	1988RED/RAO84-87	Kin
cis-Bicyclo[6.1.0]nonane	C9H16	-20.75264	1.12968	C13757432	1984WIB/LUP1740-1744	Ccb # see 1970LUP1174-1175
Diiodosilane	H2I2Si	-38.07		C13760026	1998CHA1-1951	Review # Data last reviewed in December, 1976
Zirconium chloride	Cl2Zr	-186.19		C13762260	1998CHA1-1951	Review # Data last reviewed in December, 1969
Phosphino radical	H2P	125.94		C13765430	1998CHA1-1951	Review # Data last reviewed in March, 1963
Borane(1)	HB	442.67		C13766262	1998CHA1-1951	Review # Data last reviewed in December, 1964
Diboron dioxide	B2O2	-456.06		C13766284	1998CHA1-1951	Review # Data last reviewed in December, 1964
boron fluoride	BF	-115.9		C13768600	1998CHA1-1951	Review # Data last reviewed in December, 1964
Dibromosilane	H2Br2Si	-190.37		C13768940	1998CHA1-1951	Review # Data last reviewed in December, 1976
Phosphoryl chloride difluoride	ClF2OP	-970.69		C13769750	1998CHA1-1951	Review # Data last reviewed in March, 1963
Phosphoryl chloride fluoride	Cl2FOP	-765.67		C13769761	1998CHA1-1951	Review # Data last reviewed in March, 1963
Hypochlorous acid-d	DClO	-78.24		C13770224	1998CHA1-1951	Review # Data last reviewed in March, 1979
Amino radical	H2N	190.37		C13770406	1998CHA1-1951	Review # Data last reviewed in June, 1977
Imidogen	HN	376.56		C13774920	1998CHA1-1951	Review # Data last reviewed in June, 1977
Silylidyne	HSi	376.66		C13774942	1998CHA1-1951	Review # Data last reviewed in December, 1976
Nitrogen fluoride, (E)-	F2N2	81.17		C13776620	1998CHA1-1951	Review # Data last reviewed in December, 1965
zirconium tetrabromide	Br4Zr	-644.75		C13777258	1998CHA1-1951	Review # Data last reviewed in June, 1975
Zirconium iodide	I3Zr	-221.75		C13779878	1998CHA1-1951	Review # Data last reviewed in June, 1964
Lead iodide	IPb	107.74		C13779936	1998CHA1-1951	Review # Data last reviewed in December, 1973
Lead iodide	I4Pb	-224.47		C13779981	1998CHA1-1951	Review # Data last reviewed in December, 1973
Mercapto-d	DS	138.49		C13780239	1998CHA1-1951	Review # Data last reviewed in June, 1977
dichloride titanium oxide	Cl2OTi	-545.55		C13780397	1998CHA1-1951	Review # Data last reviewed in September, 1963
sulphur chloride pentafluoride	ClF5S	-1038.89		C13780579	1998CHA1-1951	Review # Data last reviewed in December, 1977
Titanium bromide	Br2Ti	-179.08		C13783045	1998CHA1-1951	Review # Data last reviewed in June, 1968
Titanium iodide	I2Ti	-19.67		C13783078	1998CHA1-1951	Review # Data last reviewed in December, 1968
Titanium iodide	I3Ti	-150.21		C13783089	1998CHA1-1951	Review # Data last reviewed in December, 1968
Tetrakis(diethylamino)zirconium	C16H40N4Zr	-479.0	18.0	C13801495	1997MAR0B	Review # The enthalpy of formation relies on -1796.3±15.4 kJ/mol for the enthalpy of formation of Zr(O-i-Pr)4(cr)
(Z)-Difluorodiazene	F2N2	68.62		C13812436	1998CHA1-1951	Review # Data last reviewed in December, 1965
Titanium difluoride	F2Ti	-688.27		C13814205	1998CHA1-1951	Review # Data last reviewed in December, 1968
Zirconium trifluoride	F3Zr	-1105.41		C13814227	1998CHA1-1951	Review # Data last reviewed in June, 1968
Sulfur difluoride	F2S	-296.65		C13814250	1998CHA1-1951	Review # Data last reviewed in June, 1976
Beryllium bromide	BeBr	120.11		C13814498	1998CHA1-1951	Review # Data last reviewed in June, 1975
Beryllium chloride	BeCl	60.67		C13814501	1998CHA1-1951	Review # Data last reviewed in September, 1966
Aluminum chloride fluoride	AlClF2	-999.14		C13814658	1998CHA1-1951	Review # Data last reviewed in June, 1976
Molybdenum pentafluoride	F5Mo	-1241.39		C13819846	1998CHA1-1951	Review # Data last reviewed in December, 1978
Aluminate(1-), tetrafluoro-, sodium (1:1), (T-4)-	AlF4Na	-1840.96		C13821153	1998CHA1-1951	Review # Data last reviewed in December, 1979
Difluorosilane	H2F2Si	-790.78		C13824367	1998CHA1-1951	Review # Data last reviewed in June, 1976
Calcium monofluoride	CaF	-271.96		C13827264	1998CHA1-1951	Review # Data last reviewed in December, 1968
Sulfur monoxide	OS	5.01		C13827322	1998CHA1-1951	Review # Data last reviewed in June, 1977
lithium hypochlorite	ClLiO	-14.23		C13840330	1998CHA1-1951	Review # Data last reviewed in December, 1960
Titanium iodide	ITi	274.05		C13840454	1998CHA1-1951	Review # Data last reviewed in December, 1968
Boron dioxide	BO2	-284.51		C13840885	1998CHA1-1951	Review # Data last reviewed in June, 1968
Iodosilylidyne	ISi	313.63		C13841195	1998CHA1-1951	Review # Data last reviewed in December, 1976
Tribromosilyl radical	Br3Si	-201.69		C13842483	1998CHA1-1951	Review # Data last reviewed in December, 1977
Dichloroboron	BCl2	-79.5		C13842529	1998CHA1-1951	Review # Data last reviewed in June, 1972
Difluoroboryl radical	BF2	-589.94		C13842552	1998CHA1-1951	Review # Data last reviewed in June, 1972
Iodoborane	BI	305.43		C13842563	1998CHA1-1951	Review # Data last reviewed in December, 1964
Zirconium fluoride	F2Zr	-558.15		C13842949	1998CHA1-1951	Review # Data last reviewed in June, 1969
Aluminum, di-μ-chlorotetrachlorodi-	Al2Cl6	-1295.74		C13845120	1998CHA1-1951	Review # Data last reviewed in September, 1979
Trifluoroamine oxide	F3NO	-163.18		C13847659	1998CHA1-1951	Review # Data last reviewed in June, 1970
tetrakis(trifluorophosphine)nickel	F12NiP4	-3989.2	9.9	C13859659	1997MAR0B	Review
bromine chloride	BrCl	14.64		C13863417	1998CHA1-1951	Review # Data last reviewed in September, 1965
Bromine monofluoride	BrF	-58.46		C13863597	1998CHA1-1951	Review # Data last reviewed in September, 1965
Difluorohydroxyborane	HBF2O	-1083.66		C13867668	1998CHA1-1951	Review # Data last reviewed in March, 1965
Phosphorus difluoride	F2P	-488.26		C13873524	1998CHA1-1951	Review # Data last reviewed in June, 1977
Iodine monofluoride	FI	-94.76		C13873842	1998CHA1-1951	Review # Data last reviewed in December, 1965
Benzenamine, N,N-dimethyl-4-nitroso-	C8H10N2O	185.0	2.3	C138896	1994ACR/TUC85-90	Ccb
Nickel monochloride	ClNi	182.0		C13931834	1998CHA1-1951	Review # Data last reviewed in September, 1977
Lead chloride	ClPb	15.06		C13931845	1998CHA1-1951	Review # Data last reviewed in June, 1973
Molybdenum hexacarbonyl	C6MoO6	-908.5	2.9	C13939065	1997MAR0B	Review
Mercapto radical	HS	139.33		C13940211	1998CHA1-1951	Review # Data last reviewed in June, 1977
Zirconium hydride	HZr	516.31		C13940379	1998CHA1-1951	Review # Data last reviewed in June, 1963
sec-Butylamine	C4H11N	-106.2736	1.6736000000000002	C13952846	1959EVA/FAI399-403	Ccb # Heat of formation derived by 1970COX/PIL1-636B
Aluminum tris(acetylacetonate)	C15H21AlO6	-1671.2	4.6	C13963570	1997MAR0B	Review # Selected data. The enthalpy of formation is the average of the results obtained by CC-SB 1977CAV/PIL1590 and RSC 1966HIL/IRV0.
Manganese, acetylpentacarbonyl-, (OC-6-21)-	C7H3MnO6	-900.7	8.2	C13963912	1997MAR0B	Review # The enthalpy formation relies on -750.9±4.1 kJ/mol for the enthalpy of formation of Mn(CO)5(Me)(g)
Diboron tetrafluoride	B2F4	-1431.77		C13965736	1998CHA1-1951	Review # Data last reviewed in December, 1964
Diphenyl sulfide	C12H10S	231.3752	2.9288	C139662	1962MAC/MAY238-243	Ccb
Clorosilylidyne	ClSi	198.32		C13966579	1998CHA1-1951	Review # Data last reviewed in December, 1976
Mercury hydride	HHg	238.49		C13966626	1998CHA1-1951	Review # Data last reviewed in June, 1963
Difluorosilylene	F2Si	-587.85		C13966660	1998CHA1-1951	Review # Data last reviewed in December, 1977
Barium monofluoride	BaF	-322.17		C13966706	1998CHA1-1951	Review # Data last reviewed in December, 1972
Fluoroimidogen	FN	248.95		C13967061	1998CHA1-1951	Review # Data last reviewed in June, 1965
Phosphinidene	HP	253.55		C13967141	1998CHA1-1951	Review # Data last reviewed in June, 1967
Aluminum hydride	HAl	259.41		C13967221	1998CHA1-1951	Review # Data last reviewed in June, 1963
Bromoimidogen	BrN	300.76		C13967298	1998CHA1-1951	Review # Data last reviewed in December, 1962
Hexahydro-1,3,5-trinitroso-1,3,5-triazine	C3H6N6O3	394.5512		C13980046	1974PEP/MAT1707-1710	Ccb
deuterium hydride	HD	0.32		C13983205	1998CHA1-1951	Review # Data last reviewed in June, 1977
Manganese, phenyl pentacarbonyl	C11H5MnO5	-587.0	18.0	C13985778	1997MAR0B	Review # The enthalpy of formation is the average of the results for five iodination reaction enthalpies
zirconium tetraiodide	I4Zr	-362.33		C13986260	1998CHA1-1951	Review # Data last reviewed in June, 1975
(dimethylamino)methanol	C3H9NO	-203.34240000000003	4.184	C14002212	1974ROG/RAP599-603	Cm # Heat of formation derived by 77PED/RYL
1-Methyl-4-(1-propynyl-sulphonyl)benzene	C10H10O2S	10.46	4.184	C14027533	1969MAC/STE2073-2077	Ccb # Heat of combustion corrected for pressure
HypoFluorous acid	HFO	-98.32		C14034798	1998CHA1-1951	Review # Data last reviewed in December, 1972
Tungsten hexacarbonyl	C6O6W	-877.4	3.0	C14040110	1997MAR0B	Review
Difluorooxosilane	F2OSi	-966.5		C14041226	1998CHA1-1951	Review # Data last reviewed in September, 1963
Chlorotrifluorosilane	ClF3Si	-1317.96		C14049366	1998CHA1-1951	Review # Data last reviewed in December, 1960
Manganese, benzylpentacarbonyl-	C12H7MnO5	-635.7		C14049866	1997MAR0B	Review # The enthalpy of formation is the average of the results for two iodination reaction enthalpies
Molybdenum iodide	I2Mo	257.73		C14055744	1998CHA1-1951	Review # Data last reviewed in September, 1978
Molybdenum iodide	I3Mo	182.84		C14055755	1998CHA1-1951	Review # Data last reviewed in September, 1978
Molybdenum iodide	I4Mo	124.68		C14055766	1998CHA1-1951	Review # Data last reviewed in September, 1978
N,N,4-Trimethyl benzamide	C10H13NO	-112.5496	10.46	C14062783	1992GUT/PIK1671-1683	Cm # Hydrolysis
4-chloro-N,N-dimethylbenzamide	C9H10ClNO	-110.876	11.296800000000001	C14062807	1992GUT/PIK1671-1683	Cm # Hydrolysis
Methyl N,N-,α,α-tetramethylglycinate	C7H15NO2	-452.41591999999997	1.29704	C140653594	1992VER/BEC27-39	Ccb
potassium tetrafluoroborate	BF4K	-1552.26		C14075537	1998CHA1-1951	Review # Data last reviewed in December, 1969
Piperazine, 1,4-dinitroso-	C4H8N4O2	194.1376	2.9288	C140794	1974PEP/MAT1707-1710	Ccb
4,5-Tetramethylene-1,2-dithiol-3-thione	C7H8S3	155.64480000000003		C14085348	1972GEI/RAU376-382	Ccb # Hf\_H2SO4.115H2O=-143.885 Kcal/mol
2-Propenoic acid, ethyl ester	C5H8O2	-331.4		C140885	1980VIL/PER619-624	
2,4-Octanedione	C8H14O2	-456.8928		C14090870	1974CON/VAN585-593	Ion # Mass spectrometery (enol)
2-Buten-1-one, 3-(methylamino)-1-phenyl-	C11H13NO	-53.7	4.7	C14091931	1993RIB/RIB1765-1769	Ccb
2-(Methylsulphonyl)-2-methylpropane	C5H12O2S	-473.2104	3.7656	C14094123	1961BUS/MAC1054-1057	Ccr # Heat of combustion corrected for constant pressure
Rhenium, pentacarbonylchloro-	C5ClO5Re	-875.0	18.0	C14099015	1997MAR0B	Review
Manganese, pentacarbonyl(trifluoroacetyl)-	C7F3MnO6	-1505.0	7.0	C14099628	1997MAR0B	Review # The enthalpy formation relies on -1382.7±4.8 kJ/mol for the enthalpy of formation of Mn(CO)5(CF3)(g)
pentacarbonylchloromanganese	C5ClMnO5	-919.0	13.0	C14100302	1997MAR0B	Review
2-Propenoic acid, butyl ester	C7H12O2	-375.3	0.8	C141322	1996STE/CHI1285-1302	Ccr
germanium(4+) ethanolate	C8H20GeO4	-965.6	3.1	C14165550	1997MAR0B	Review # The enthalpy of formation has been derived on the basis of GeO2(am).
Ethyl Acetate	C4H8O2	-445.42864	0.8368000000000001	C141786	1991WIB/CRO3447-3450	Cm
3-Penten-2-one, 4-methyl-	C6H10O	-178.28	0.64	C141797	1997STE/CHI1052-1066	Ccb
Ethyl acetoacetate	C6H10O3	-586.2	1.5	C141979	1995RIB/FER426-428	Ccb
bromopentacarbonylrhenium	C5BrO5Re	-857.4	7.4	C14220214	1997MAR0B	Review
Cyclopentene	C5H8	35.564		C142290	1982ALL/DOD1593-1597	Chyd
pentafluoronitrosobenzene	C6F5NO	-669.44	8.368	C1423138	1975CHO/GOL713-724	Kin
N-Fluoro-n-butylnitramine	C4H9FN2O2	-112.1312	2.9288	C14233864	1966ZIM/BAR579-581	Ccb
Bicyclo[3.2.1]octan-3-one	C8H12O	-221.3336	8.368	C14252052	1979STE0	Ccb
2,2-Bis(phenylthio)propane	C15H16S2	262.0	10.0	C14252461	1997STE/CHI1052-1066	Ccb # H2SO4 (1:115)
Hexanoic acid	C6H12O2	-511.2	1.5	C142621	1978FEN/HAR687-690	
Tetrahydropyran	C5H10O	-223.84400000000002	1.00416	C142687	1965PEL/PIL71-77	Cm
Heptane	C7H16	-187.81976	0.79496	C142825	1945PRO/ROS263-267	Ccb
1-Propanamine, N-propyl-	C6H15N	-116.5	1.6	C142847	1997RIB/RIB1025-1030	Ccb
tris(pentane-2,4-dionato-O,O')molybdenum	C15H21MoO6	-1195.0	11.0	C14284903	1997MAR0B	Review
Dirhenium decacarbonyl	C10O10Re2	-1557.1	9.1	C14285688	1997MAR0B	Review
Propane, 2-(ethylthio)-2-methyl-	C6H14S	-147.6952	2.5104	C14290927	1962MAC/MAY230-237	Ccb
n-Butyl ether	C8H18O	-333.8832	2.092	C142961	1965COL/PEL2641	Ccb
Cyclobutane, 1,2-bis(methylene)-	C6H8	204.1792		C14296801	1986ROT/LEN837-843	Chyd # Mixture cis and trans
1-Nonanol	C9H20O	-368.7		C143088	1975MOS/DEK417-424	
1-Decanethiol	C10H22S	-211.9196	1.4644	C143102	1966GOO/DEP3606-3609	Ccr
Dodecane, 1-bromo-	C12H25Br	-269.9	2.6	C143157	1976STR901-906	Ccr
(e,s)-Rs-2,2'-bis(neopentylidene)bicyclohexyl	C22H38	-269.0312	13.388800000000002	C143238022	1993HER/BEC117-127	Cm # homolysis
(Z,Z)-Rr-2,2'-bis(neopentylidene)bicyclohexyl	C22H38	-268.1944	15.0624	C143238033	1993HER/BEC117-127	Cm # homolysis
(E,E)-Rr-2,2'-bis(neopentylidene)bicyclohexyl	C22H38	-291.62480000000005	14.2256	C143238044	1993HER/BEC117-127	Cm # homolysis
Nitrosyl hydride	HNO	99.58		C14332286	1998CHA1-1951	Review # Data last reviewed in March, 1993
Magnesium monohydride	HMg	169.03		C14332537	1998CHA1-1951	Review # Data last reviewed in December, 1966
Magnesium iodide	IMg	24.61		C14332628	1998CHA1-1951	Review # Data last reviewed in December, 1974
[2H]hydrogen fluoride	DF	-275.52		C14333267	1998CHA1-1951	Review # Data last reviewed in June, 1977
sodium cyanide	CNNa	94.27		C143339	1998CHA1-1951	Review # Data last reviewed in March, 1966
Methylmercuric iodide	CH3HgI	21.6	2.5	C143362	1997MAR0B	Review # The enthalpy of formation relies on 57.8±3.0 kJ/mol for the enthalpy of formation of Hg(Me)2(l).
Iodine, atomic	I	106.76	0.04	C14362448	1984COX/WAG1B	Review # CODATA Review value
Heptafluoromethanetriamine	CF7N3	-200.12072	2.8451200000000005	C14362686	1967SIN/THO1852-1854	Cm # Reanalyzed by 1970COX/PIL1-636B, Original value = -47.7 kcal/mol; Energy of explosion
tris(pentane-2,4-dionato-O,O')gallium	C15H21GaO6	-1356.0	11.0	C14405437	1997MAR0B	Review # Selected data. The enthalpy of formation is the average of the results obtained by CC-SB 1977CAV/PIL1590 and RSC 1969IRV/WAL0.
Lithium dimer	Li2	215.9		C14452596	1998CHA1-1951	Review # Data last reviewed in December, 1983
Beryllium	Be2	637.16		C14452609	1998CHA1-1951	Review # Data last reviewed in September, 1983
Boron	B2	829.69		C14452610	1998CHA1-1951	Review # Data last reviewed in March, 1979
Boron dihydride	H2B	200.83		C14452643	1998CHA1-1951	Review # Data last reviewed in December, 1964
Phosphorus monoxide	OP	-23.55		C14452665	1998CHA1-1951	Review # Data last reviewed in June, 1971
Lead hydride	HPb	236.19		C14452814	1998CHA1-1951	Review # Data last reviewed in June, 1962
Ethane, 1,1,1-trimethoxy-	C5H12O3	-570.86	0.87	C1445450	1979WIB/SQU773-786	Cm # Hydrolysis
Aluminum monoxide	AlO	66.94		C14457648	1998CHA1-1951	Review # Data last reviewed in December, 1979
Boron hydride sulfide	HBS	50.21		C14457853	1998CHA1-1951	Review # Data last reviewed in December, 1975
Gallium trimethyl	C3H9Ga	-46.2	8.1	C1445790	1997MAR0B	Review
Molybdenum tetrafluoride oxide	F4MoO	-1255.2		C14459597	1998CHA1-1951	Review # Data last reviewed in June, 1970
Manganese pentacarbonyl bromide	C5BrMnO5	-882.6	9.3	C14516542	1997MAR0B	Review
Magnesium bromide	BrMg	-35.34		C14519110	1998CHA1-1951	Review # Data last reviewed in June, 1975
Strontium monobromide	BrSr	-89.12		C14519132	1998CHA1-1951	Review # Data last reviewed in December, 1974
thiazole-4-carbonitrile	C4H2N2S	293.80048	1.2552	C1452159	1966MAN/SUN845-848	Ccb # Reanalyzed by 1970COX/PIL1-636B, Original value = 70.31$(0.28) kcal/mol
Methyl rhenium pentacarbonyl	C6H3O5Re	-757.0	8.7	C14524926	1997MAR0B	Review
Cyclohexene, 1-ethyl-	C8H14	-63.6		C1453243	1961LAB/ROS476-480	
[1S-(1α,2β,5α)]-2,6,6-trimethylbicyclo[3.1.1]heptan-3-one	C10H16O	-148.532	8.368	C14575930	1979STE0	Ccb
Pyridine, tungsten pentacarbonyl	C10H5NO5W	-606.0	11.0	C14586493	1997MAR0B	Review # The enthalpy of formation relies on -883.9±2.7 kJ/mol for the enthalpy of formation of W(CO)6(g)
cis-1,3-hexadiene	C6H10	58.576	1.6736000000000002	C14596920	1992FAN/ROG2294-2297	Chyd
1,3-Benzenedicarboxylic acid, dimethyl ester	C10H10O4	-629.2	2.0	C1459934	1998ROU/JIM887-890	Ccb
Stannane, tetrabutyl-	C16H36Sn	-218.6	7.4	C1461252	1997MAR0B	Review
Cyclopentanol, 1-methyl-	C6H12O	-284.3	1.4	C1462039	1997BLO/KAB19-29	Ccb
1,1-Difluoro-3-phenylpropane	C9H10F2	-414.4	1.4	C146377620	1997SCH/VER1333-1344	Ccr
Pyrazine, trimethyl-	C7H10N2	74.3	2.7	C14667551	1996RIB/MOR329-336	Ccb
2-Heptene, (E)-	C7H14	-74.2		C14686136	1984WIB/WAS3684-3688	
3-Heptene, (E)-	C7H14	-73.2		C14686147	1984WIB/WAS3684-3688	
Strontium monoiodide	ISr	-30.49		C14696992	1998CHA1-1951	Review # Data last reviewed in June, 1974
Bromodifluoroborane(3)	BBrF2	-820.06		C14720231	1998CHA1-1951	Review # Data last reviewed in December, 1964
Dibromofluoroborane(3)	BBr2F	-514.63		C14720253	1998CHA1-1951	Review # Data last reviewed in December, 1964
Chlorodifluoroborane	BClF2	-885.33		C14720300	1998CHA1-1951	Review # Data last reviewed in December, 1964
Dichlorofluoroborane	BCl2F	-644.34		C14720311	1998CHA1-1951	Review # Data last reviewed in December, 1964
Beryllium borate	B2BeO4	-1351.43		C14720435	1998CHA1-1951	Review # Data last reviewed in June, 1965
Zirconium iodide	IZr	591.2		C14728768	1998CHA1-1951	Review # Data last reviewed in September, 1964
2,4-Dimethyl-1,3-dioxole	C5H8O2	-423.00239999999997	3.7656	C14738977	1969PIH/HEI338-342	Ccb
2-Methyl-4-methylene-1,3-dioxolane	C5H8O2	-382.836	6.694400000000001	C14738999	1969PIH/HEI338-342	Ccb
Chromium,pentacarbonyl(pyridine)-	C10H5CrNO5	-629.3	6.8	C14740773	1997MAR0B	Review # The enthalpy of formation relies on -908.4±2.6 kJ/mol for the enthalpy of formation of Cr(CO)6(g)
Fluorine, atomic	F	79.38	0.3	C14762948	1984COX/WAG1B	Review # CODATA Review value
Benzenamine, 2,4,6-tribromo-	C6H4Br3N	159.0	2.6	C147820	1987ALL/FIN771-779	Ccr # The mean of Heat of formations recomended by author
Carbamodithioic acid, diethyl-	C5H11NS2	33.2	3.8	C147842	1988RIB/REI319-328	Cm
Proline	C5H9NO2	-366.2	4.0	C147853	1978SAB/LAF50-52	Ccb # see 1978SAB/LAF101-102
Bromosilylidyne	BrSi	235.33		C14791572	1998CHA1-1951	Review # Data last reviewed in December, 1976
Bicyclo[2.2.2]oct-2-ene, 5-methyl-, (1α,4α,5β)-	C9H14	-1.2552	4.184	C14803420	1986VAN/BOO537-545	Kin
8-Hydroxyquinoline	C9H7NO	6.5	1.7	C148243	1989RIB/MON159-166	Ccb
Diselenide, bis(phenylmethyl)	C14H14Se2	301.248	4.184	C1482822	1973ARS/SHA1732-1734	Ccb
Barium monobromide	BaBr	-110.59		C14832974	1998CHA1-1951	Review # Data last reviewed in December, 1974
